date,ticker,name,sector,industry,price,low_52w,high_52w,pct_from_low,pct_from_high,dividend_yield_pct,trailing_pe,market_cap,updated_at
2026-08-11,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,116.74,87.27,128.21,33.77,-8.95,3.96,23.58,10146853888.0,2026-08-12T00:08:45.843359+00:00
2026-08-11,EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,164.38,122.15,164.87,34.58,-0.3,1.4,35.97,92069232640.0,2026-08-12T00:08:16.110330+00:00
2026-08-11,MSEX,Middlesex Water Company,Utilities,Utilities - Regulated Water,58.28,43.28,60.93,34.66,-4.34,2.49,22.5,1098225152.0,2026-08-12T00:08:24.674564+00:00
2026-08-11,ABT,Abbott Laboratories,Healthcare,Medical Devices,109.72,81.39,134.38,34.81,-18.35,2.32,35.62,191111741440.0,2026-08-12T00:08:15.397612+00:00
2026-08-11,KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,86.48,64.04,90.92,35.05,-4.88,2.44,25.97,372084441088.0,2026-08-12T00:08:27.866444+00:00
2026-08-11,KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,19.05,13.53,21.18,40.85,-10.06,4.41,22.41,36576165888.0,2026-08-12T00:08:42.159905+00:00
2026-08-11,FMCB,Farmers & Merchants Bancorp,Financial Services,Banks - Regional,1385.1,972.41,1396.91,42.44,-0.85,1.48,9.92,958411648.0,2026-08-12T00:08:30.443986+00:00
2026-08-11,GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,1301.94,901.22,1417.14,44.46,-8.13,77.0,33.23,61468647424.0,2026-08-12T00:08:27.183075+00:00
2026-08-11,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,181.41,125.21,184.86,44.89,-1.87,2.34,31.39,49413693440.0,2026-08-12T00:08:13.434897+00:00
2026-08-11,UBSI,"United Bankshares, Inc.",Financial Services,Banks - Regional,48.5,33.16,49.62,46.25,-2.26,3.16,13.22,6606309888.0,2026-08-12T00:08:40.379029+00:00
2026-08-11,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,80.46,54.34,88.46,48.05,-9.04,2.58,21.98,38778220544.0,2026-08-12T00:08:25.923186+00:00
2026-08-11,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,1061.33,710.89,1099.94,49.3,-3.51,75.0,37.2,133819260928.0,2026-08-12T00:08:12.727525+00:00
2026-08-11,NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,311.36,208.15,315.68,49.59,-1.37,1.06,33.3,17348339712.0,2026-08-12T00:08:26.584545+00:00
2026-08-11,GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,135.09,89.8,148.58,50.43,-9.08,3.16,519.58,18623473664.0,2026-08-12T00:08:19.047581+00:00
2026-08-11,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,259.8,167.62,274.9,54.99,-5.49,2.05,30.17,626091622400.0,2026-08-12T00:08:19.706108+00:00
2026-08-11,SCL,Stepan Company,Basic Materials,Specialty Chemicals,65.05,40.83,66.97,59.33,-2.86,2.44,,1478751744.0,2026-08-12T00:08:20.950261+00:00
2026-08-11,SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,104.0,59.87,104.67,73.71,-0.64,3.27,25.43,15705731072.0,2026-08-12T00:08:21.572629+00:00
2026-08-11,TGT,Target Corporation,Consumer Defensive,Discount Stores,152.29,81.83,154.87,86.11,-1.67,3.05,20.12,69168758784.0,2026-08-12T00:08:17.321603+00:00
2026-08-11,GRC,Gorman-Rupp Company (The),Industrials,Specialty Industrial Machinery,82.79,40.63,92.78,103.76,-10.77,93.0,34.93,2186504192.0,2026-08-12T00:08:43.427426+00:00
2026-08-11,NUE,Nucor Corporation,Basic Materials,Steel,271.95,130.11,280.11,109.02,-2.91,82.0,21.72,61934153728.0,2026-08-12T00:08:36.561630+00:00
2026-08-14,UVV,Universal Corporation,Consumer Defensive,Tobacco,44.77,44.47,57.51,0.67,-22.16,7.42,58.91,1114739712.0,2026-08-17T09:11:48.988806+00:00
2026-08-14,PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,140.79,133.4,168.19,5.54,-16.29,4.2,18.45,192319127552.0,2026-08-17T09:11:36.666136+00:00
2026-08-14,PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,144.55,134.62,164.77,7.37,-12.27,3.01,21.84,335996813312.0,2026-08-17T09:11:43.830149+00:00
2026-08-14,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,218.47,199.4,289.87,9.56,-24.63,2.29,18.48,,2026-08-17T09:11:28.635111+00:00
2026-08-14,NFG,National Fuel Gas Company,Energy,Oil & Gas Integrated,81.92,74.64,96.03,9.75,-14.69,2.71,11.41,7786094080.0,2026-08-17T09:11:31.016994+00:00
2026-08-14,TNC,Tennant Company,Industrials,Specialty Industrial Machinery,68.59,59.89,91.93,14.53,-25.39,1.83,65.95,1169411712.0,2026-08-17T09:11:49.551113+00:00
2026-08-14,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,418.8,359.36,530.35,16.54,-21.03,93.0,25.51,123462238208.0,2026-08-17T09:11:40.840457+00:00
2026-08-14,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,108.8,92.96,115.26,17.04,-5.61,3.23,17.89,40237359104.0,2026-08-17T09:11:39.750334+00:00
2026-08-14,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,173.17,146.32,194.81,18.35,-11.11,2.17,8.18,26577793024.0,2026-08-17T09:11:46.189597+00:00
2026-08-14,FTS,Fortis Inc.,Utilities,Utilities - Regulated Electric,56.68,47.84,59.4,18.48,-4.58,3.25,23.23,28957812736.0,2026-08-17T09:11:40.260679+00:00
2026-08-14,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,110.39,91.17,129.81,21.08,-14.96,4.64,21.82,36713398272.0,2026-08-17T09:11:44.933429+00:00
2026-08-14,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,115.27,94.85,135.16,21.53,-14.72,86.0,40.59,917327708160.0,2026-08-17T09:11:28.026560+00:00
2026-08-14,TR,"Tootsie Roll Industries, Inc.",Consumer Defensive,Confectioners,40.92,33.21,44.95,23.23,-8.97,88.0,32.22,3075672064.0,2026-08-17T09:11:34.243114+00:00
2026-08-14,SYY,Sysco Corporation,Consumer Defensive,Food Distribution,82.99,67.23,90.56,23.43,-8.36,2.65,22.67,39714332672.0,2026-08-17T09:11:26.146511+00:00
2026-08-14,RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,113.82,91.96,126.56,23.77,-10.06,1.9,22.02,14528326656.0,2026-08-17T09:11:29.837906+00:00
2026-08-14,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,65.7,53.01,77.06,23.95,-14.74,6.45,13.83,109702168576.0,2026-08-17T09:11:47.333676+00:00
2026-08-14,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,290.81,234.38,301.92,24.08,-3.68,2.37,26.32,82822684672.0,2026-08-17T09:11:37.896491+00:00
2026-08-14,CWT,California Water Service Group,Utilities,Utilities - Regulated Water,50.4,40.39,53.46,24.77,-5.73,2.67,22.6,3116690688.0,2026-08-17T09:11:37.297670+00:00
2026-08-14,PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,114.11,91.35,130.99,24.92,-12.89,2.59,16.37,25366652928.0,2026-08-17T09:11:41.435584+00:00
